Week,9:40,10:10,11:05,11:35,11:55,12:15,12:45,1:15
Week 1,,Bailey,,,,,,
Week 2,,,Bailey,,,,,
Week 3,,,,Bailey,,,,
Week 4,,,,,Bailey,,,
Week 5,,,,,,Bailey,,
Week 6,,,,,,,,Bailey
Week 7,Bailey,,,,,,,
Week 8,,Bailey,,,,,,
Week 9,,,Bailey,,,,,
Week 10,,,,Bailey,,,,
