Week,9:40,10:10,11:05,11:35,11:55,12:15,12:45,1:15
Week 1,,,,Thomas,,,,
Week 2,,,,,Thomas,,,
Week 3,,,,,,Thomas,,
Week 4,,,,,,,,Thomas
Week 5,Thomas,,,,,,,
Week 6,,Thomas,,,,,,
Week 7,,,Thomas,,,,,
Week 8,,,,Thomas,,,,
Week 9,,,,,Thomas,,,
Week 10,,,,,,Thomas,,
