Week,9:40,10:10,11:05,11:35,11:55,12:15,12:45,1:15
Week 1,,,,,Chance,,,
Week 2,,,,,,Chance,,
Week 3,,,,,,,,Chance
Week 4,Chance,,,,,,,
Week 5,,Chance,,,,,,
Week 6,,,Chance,,,,,
Week 7,,,,Chance,,,,
Week 8,,,,,Chance,,,
Week 9,,,,,,Chance,,
Week 10,,,,,,,,Chance
