Week,9:40,10:10,11:05,11:35,11:55,12:15,12:45,1:15
Week 1,,,,,,Huarya,,
Week 2,,,,,,,,Huarya
Week 3,Huarya,,,,,,,
Week 4,,Huarya,,,,,,
Week 5,,,Huarya,,,,,
Week 6,,,,Huarya,,,,
Week 7,,,,,Huarya,,,
Week 8,,,,,,Huarya,,
Week 9,,,,,,,,Huarya
Week 10,Huarya,,,,,,,
